48834 56.0262 56.2054 55.7542 55.2413 54.5769 54.1819 53.2277 51.909 49.6162 50.8433 50.0186 4.76364 6.60208 7.19091 7.25803 8.16848 9.05789 11.2008 13.8287 18.5293 35.0636 48.9812 
48852 55.7476 55.8912 55.7224 55.2413 54.8328 54.2232 52.9243 51.6581 49.8614 51.0551 50.2139 4.52096 6.10609 6.92722 7.25803 8.1301 9.32761 10.9807 13.8972 18.4349 34.897 49.1748 
49183 58.1308 56.4923 55.8213 55.0887 54.1418 53.5013 52.772 51.4702 49.699 51.142 52.2791 5.10217 6.83236 7.71737 8.09208 8.78776 9.73537 11.5851 14.2456 18.8119 35.5377 51.8269 
49289 56.0482 55.1784 54.4722 53.7728 52.5309 52.4386 51.0989 49.5266 47.9814 49.2791 50.5818 5.02697 6.72552 7.36108 8.01325 8.48894 9.64805 11.0826 13.8912 18.5326 35.6076 51.4316 
49331 56.0482 54.8919 54.2158 54.0288 52.5697 51.844 51.2008 49.5266 47.6545 49.0692 51.35 5.02697 6.48917 7.39608 7.97504 8.76758 9.18054 11.6503 13.8912 18.3367 35.7833 51.7456 
49382 56.3288 54.9849 54.2497 53.7728 52.5697 51.8859 51.2536 49.5893 48.1482 50.096 51.35 5.26584 7.29206 7.6668 8.01325 8.76758 9.46232 11.9333 14.1811 19.1159 36.3969 51.7456 
49418 56.5862 54.7285 54.5769 53.5537 52.906 51.6743 50.6946 49.403 47.8196 49.8882 51.1904 5.24182 7.32641 8.16848 8.32565 9.27824 9.79215 11.7683 14.5452 18.9246 36.573 51.9728 
49462 56.5632 55.0183 54.5408 53.5537 52.6097 51.6743 51.0007 49.0882 47.5752 49.6808 51.7569 4.98108 7.55907 7.89969 8.32565 9.0458 9.79215 11.9933 14.3289 19.0256 36.7507 52.0999 
49507 56.8207 54.9849 54.5769 53.5537 52.6509 51.9734 50.7479 49.3387 47.9041 50.096 51.35 4.95845 7.29206 8.16848 8.32565 9.32359 10.0245 12.054 14.2547 19.2171 36.3969 51.7456 
49553 56.5207 55.2746 54.3211 53.8864 52.6097 51.7188 51.3077 49.8399 48.0642 49.5819 51.9161 4.459 7.52382 8.20722 8.82974 9.0458 10.0743 12.2157 14.1083 18.8247 36.0933 51.8748 
49596 57.6397 55.2413 55.0887 54.0653 53.1203 52.1838 51.1492 50.0906 48.3089 50.152 51.7569 5.40379 7.25803 8.09208 8.24632 8.95813 9.69561 11.3667 14.0362 18.7258 35.984 52.0999 
49630 57.6397 55.7871 54.5059 54.3973 53.1203 52.1838 51.7072 50.0906 48.5538 50.152 52.3238 5.40379 7.4543 7.63055 8.74616 8.95813 9.69561 11.5346 14.0362 18.6279 35.984 52.2243 
49669 57.8295 56.0107 55.0529 54.0653 53.1203 52.1838 50.8958 49.5893 48.3089 49.943 52.3238 4.61477 7.15781 7.82575 8.24632 8.95813 9.69561 11.4241 14.1811 18.7258 36.1582 52.2243 
